iter	Passed	Remaining
1032	4645	62816
1033	4651	62827
1034	4656	62822
1035	4660	62818
1036	4665	62816
1037	4670	62826
1038	4674	62816
1039	4678	62806
1040	4684	62817
1041	4688	62808
1042	4692	62799
1043	4696	62788
1044	4702	62798
1045	4706	62787
1046	4710	62779
1047	4715	62772
1048	4721	62789
1049	4725	62779
1050	4729	62771
1051	4735	62786
1052	4739	62776
1053	4744	62771
1054	4748	62770
1055	4753	62772
1056	4757	62761
1057	4761	62751
1058	4767	62755
1059	4771	62748
1060	4775	62741
1061	4780	62735
1062	4785	62741
1063	4789	62733
1064	4794	62729
1065	4798	62722
1066	4803	62723
1067	4807	62715
1068	4811	62707
1069	4816	62707
1070	4820	62698
1071	4825	62690
1072	4829	62681
1073	4834	62684
1074	4838	62674
1075	4842	62663
1076	4846	62653
1077	4851	62651
1078	4855	62646
1079	4859	62639
1080	4864	62630
1081	4868	62627
1082	4872	62616
1083	4876	62606
1084	4880	62596
1085	4885	62595
1086	4889	62586
1087	4893	62577
1088	4898	62569
1089	4903	62569
1090	4907	62561
1091	4911	62550
1092	4915	62549
1093	4920	62542
1094	4924	62535
1095	4928	62525
1096	4933	62525
1097	4937	62514
1098	4941	62505
1099	4945	62496
1100	4950	62494
1101	4954	62486
1102	4958	62476
1103	4962	62466
1104	4967	62462
1105	4971	62452
1106	4975	62442
1107	4979	62432
1108	4984	62433
1109	4988	62425
1110	4992	62415
1111	4996	62406
1112	5001	62408
1113	5005	62398
1114	5009	62388
1115	5014	62380
1116	5019	62388
1117	5024	62386
1118	5028	62381
1119	5033	62385
1120	5038	62378
1121	5043	62383
1122	5048	62388
1123	5052	62379
1124	5057	62375
1125	5061	62364
1126	5067	62373
1127	5071	62362
1128	5075	62352
1129	5079	62344
1130	5084	62350
1131	5089	62351
1132	5093	62343
1133	5099	62357
1134	5103	62348
1135	5108	62340
1136	5112	62335
1137	5117	62339
1138	5122	62333
1139	5126	62330
1140	5132	62339
1141	5136	62331
1142	5141	62330
1143	5146	62328
1144	5151	62330
1145	5155	62323
1146	5159	62315
1147	5163	62307
1148	5168	62302
1149	5172	62295
1150	5176	62286
1151	5182	62292
1152	5186	62285
1153	5190	62276
1154	5194	62267
1155	5199	62269
1156	5203	62259
1157	5207	62252
1158	5211	62241
1159	5216	62243
1160	5221	62235
1161	5225	62225
1162	5229	62217
1163	5234	62223
1164	5239	62222
1165	5244	62218
1166	5249	62226
1167	5254	62222
1168	5258	62217
1169	5263	62217
1170	5267	62212
1171	5272	62207
1172	5277	62204
1173	5282	62207
1174	5286	62198
1175	5290	62190
1176	5294	62183
1177	5299	62187
1178	5303	62176
1179	5307	62165
1180	5312	62160
1181	5317	62160
1182	5321	62155
1183	5326	62154
1184	5332	62166
1185	5337	62163
1186	5341	62163
1187	5346	62162
1188	5351	62158
1189	5356	62157
1190	5360	62152
1191	5365	62153
1192	5370	62151
1193	5375	62151
1194	5380	62157
1195	5384	62150
1196	5388	62141
1197	5393	62132
1198	5398	62135
1199	5402	62130
1200	5408	62135
1201	5412	62131
1202	5417	62132
1203	5421	62125
1204	5425	62116
1205	5431	62119
1206	5435	62110
1207	5439	62106
1208	5444	62102
1209	5449	62104
1210	5454	62104
1211	5458	62099
1212	5464	62105
1213	5468	62099
1214	5472	62090
1215	5477	62086
1216	5482	62092
1217	5486	62083
1218	5490	62075
1219	5495	62067
1220	5500	62068
1221	5504	62060
1222	5508	62052
1223	5513	62054
1224	5517	62045
1225	5521	62035
1226	5525	62026
1227	5530	62028
1228	5534	62018
1229	5539	62010
1230	5543	62003
1231	5548	62002
1232	5552	61993
1233	5556	61983
1234	5560	61973
1235	5565	61972
1236	5569	61963
1237	5573	61956
1238	5577	61948
1239	5582	61949
1240	5586	61941
1241	5590	61931
1242	5595	61933
1243	5601	61940
1244	5605	61931
1245	5609	61922
1246	5614	61924
1247	5618	61914
1248	5623	61907
1249	5627	61898
1250	5633	61915
1251	5638	61912
1252	5642	61907
1253	5648	61917
1254	5653	61913
1255	5657	61909
1256	5663	61922
1257	5668	61918
1258	5672	61914
1259	5677	61910
1260	5683	61926
1261	5688	61921
1262	5692	61919
1263	5699	61935
